date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,seeds_collected,field_notes
20190704,D2,10,fungicide,Ev,1,7,2,1,1,0,
20190704,D2,10,fungicide,Ev,2,8,4,0,1,0,
20190704,D2,10,fungicide,Ev,3,7,3,0,1,0,
20190704,D2,10,fungicide,Ev,A,5,2,1,1,0,
20190704,D2,1,water,Ev,1,5,4,0,0,0,only one green tiller
20190704,D2,1,water,Ev,2,6,3,0,1,0,
20190704,D2,1,water,Ev,3,6,3,0,1,0,
20190704,D2,1,water,Ev,A,3,2,0,1,0,
20190704,D2,2,water,Ev,1,8,8,1,1,0,
20190704,D2,2,water,Ev,2,7,6,1,1,0,
20190704,D2,2,water,Ev,3,7,7,1,1,0,
20190704,D2,2,water,Ev,A,4,2,0,1,1,
20190704,D2,3,water,Ev,1,7,3,0,1,0,
20190704,D2,3,water,Ev,2,7,4,0,1,0,
20190704,D2,3,water,Ev,3,8,3,0,1,0,
20190704,D2,3,water,Ev,A,3,3,0,1,0,
20190704,D2,4,water,Ev,1,6,2,0,1,0,
20190704,D2,4,water,Ev,2,7,3,0,1,0,
20190704,D2,4,water,Ev,3,6,3,0,1,0,
20190704,D2,4,water,Ev,A,5,2,0,1,0,
20190704,D2,5,water,Ev,1,6,5,0,1,0,
20190704,D2,5,water,Ev,2,6,3,1,1,0,
20190704,D2,5,water,Ev,3,8,5,1,1,0,
20190704,D2,5,water,Ev,A,6,5,1,1,0,
20190704,D2,6,water,Ev,1,6,5,1,1,0,
20190704,D2,6,water,Ev,2,6,4,1,1,0,
20190704,D2,6,water,Ev,3,6,4,1,1,0,
20190704,D2,6,water,Ev,A,4,1,0,1,0,
20190704,D2,7,water,Ev,1,3,3,0,1,0,
20190704,D2,7,water,Ev,2,5,2,0,1,0,
20190704,D2,7,water,Ev,3,6,5,1,1,0,
20190704,D2,7,water,Ev,A,5,2,1,1,0,
20190704,D2,8,water,Ev,1,6,5,1,1,0,
20190704,D2,8,water,Ev,2,6,5,1,1,0,
20190704,D2,8,water,Ev,3,5,3,1,1,0,
20190704,D2,8,water,Ev,A,4,2,1,1,0,
20190704,D2,9,water,Ev,1,5,2,0,1,0,
20190704,D2,9,water,Ev,2,7,4,0,1,0,
20190704,D2,9,water,Ev,3,5,1,0,1,0,
20190704,D2,9,water,Ev,A,6,2,0,1,0,
20190704,D2,10,water,Ev,1,5,2,1,1,0,
