site,plot,treatment,bag,stems,seeds,seed_weight.g,count_date,count_initials,bag_notes
D2,1,fungicide,4,0,21,0.0162,1/17/2019,RT,
D2,1,fungicide,5,0,26,0.0317,1/17/2019,RT,
D2,1,fungicide,6,0,33,0.0345,1/17/2019,RT,
D2,1,fungicide,7,0,3,0.0029,1/17/2019,RT,
D2,1,fungicide,8,2,109,0.163,1/17/2019,RT,
D2,1,fungicide,9,3,73,0.0889,1/17/2019,RT,
D2,1,fungicide,10,0,11,0.0156,1/22/2019,DN,
D2,2,fungicide,1,0,24,0.0436,1/31/2019,DM,
D2,2,fungicide,2,1,38,0.0657,1/31/2019,DM,
D2,2,fungicide,3,2,24,0.0526,1/31/2019,DM,
D2,2,fungicide,4,0,15,0.0323,1/31/2019,DM,
D2,2,fungicide,5,0,13,0.0375,1/31/2019,DM,
D2,2,fungicide,6,0,51,0.0854,1/31/2019,DM,
D2,2,fungicide,7,3,60,0.0783,2/1/2019,DM,
D2,2,fungicide,8,2,40,0.0521,2/1/2019,DM,
D2,2,fungicide,9,0,23,0.027,2/1/2019,DM,
D2,2,fungicide,10,1,36,0.0421,2/1/2019,DM,
D2,3,fungicide,1,2,36,0.0448,1/31/2019,PR,
D2,3,fungicide,2,0,16,0.0164,1/31/2019,PR,
D2,3,fungicide,3,2,88,0.107,1/31/2019,PR,
D2,3,fungicide,4,1,67,0.078,1/31/2019,PR,
D2,3,fungicide,5,2,48,0.0734,1/31/2019,PR,
D2,3,fungicide,6,3,55,0.0533,1/31/2019,PR,
D2,3,fungicide,7,3,67,0.0834,1/31/2019,PR,
D2,3,fungicide,8,0,40,0.0333,1/31/2019,PR,
D2,3,fungicide,9,1,54,0.0563,1/31/2019,PR,
D2,3,fungicide,10,0,14,0.0113,1/31/2019,PR,
D2,4,fungicide,1,2,52,0.0576,1/29/2019,DM,
D2,4,fungicide,2,0,48,0.0555,1/29/2019,DM,
D2,4,fungicide,3,0,33,0.041,1/29/2019,DM,
D2,4,fungicide,4,1,37,0.0534,1/29/2019,DM,
D2,4,fungicide,5,0,58,0.0576,1/29/2019,DM,
D2,4,fungicide,6,2,168,0.1664,1/30/2019,PR,
D2,4,fungicide,7,1,67,0.0776,1/30/2019,PR,
D2,4,fungicide,8,0,33,0.0421,1/30/2019,PR,
D2,4,fungicide,9,2,69,0.0784,1/30/2019,PR,
D2,4,fungicide,10,2,80,0.076,1/30/2019,PR,
D2,5,fungicide,1,2,65,0.1084,1/31/2019,PR,
D2,5,fungicide,2,0,40,0.0321,1/31/2019,PR,
D2,5,fungicide,3,1,81,0.1012,1/31/2019,PR,
D2,5,fungicide,4,3,106,0.118,1/31/2019,PR,
D2,5,fungicide,5,0,55,0.0835,1/31/2019,PR,
D2,5,fungicide,6,3,112,0.1559,1/31/2019,PR,
D2,5,fungicide,7,1,122,0.163,1/31/2019,PR,
D2,5,fungicide,8,3,63,0.0859,1/31/2019,PR,
D2,5,fungicide,9,3,139,0.1334,1/31/2019,PR,
D2,5,fungicide,10,2,95,0.1478,1/31/2019,PR,
D2,6,fungicide,1,2,72,0.0993,1/28/2019,PR,
D2,6,fungicide,2,1,71,0.1117,1/28/2019,PR,
D2,6,fungicide,3,1,46,0.0463,1/28/2019,PR,
D2,6,fungicide,4,3,75,0.1206,1/28/2019,PR,
D2,6,fungicide,5,1,103,0.1444,1/28/2019,PR,
D2,6,fungicide,6,4,76,0.0986,1/28/2019,PR,
