date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,field_notes
20180925,D3,7,water,Mv,1,4,4,
20180925,D3,7,water,Mv,2,NA,NA,
20180925,D3,7,water,Mv,3,4,4,
20180925,D3,8,water,Mv,1,4,4,
20180925,D3,8,water,Mv,2,3,3,
20180925,D3,8,water,Mv,3,6,6,
20180925,D3,9,water,Mv,1,NA,NA,
20180925,D3,9,water,Mv,2,NA,NA,
20180925,D3,9,water,Mv,3,3,3,
20180925,D3,10,water,Mv,1,3,3,
20180925,D3,10,water,Mv,2,NA,NA,
20180925,D3,10,water,Mv,3,NA,NA,
20180925,D3,1,fungicide,Mv,1,2,2,
20180925,D3,1,fungicide,Mv,2,3,2,
20180925,D3,1,fungicide,Mv,3,6,3,
20180925,D3,2,fungicide,Mv,1,5,3,
20180925,D3,2,fungicide,Mv,2,4,4,
20180925,D3,2,fungicide,Mv,3,NA,NA,
20180925,D3,2,fungicide,Mv,Bg1,3,3,
20180925,D3,2,fungicide,Mv,Bg10,4,3,
20180925,D3,2,fungicide,Mv,Bg2,4,4,
20180925,D3,2,fungicide,Mv,Bg3,6,4,
20180925,D3,2,fungicide,Mv,Bg4,3,3,
20180925,D3,2,fungicide,Mv,Bg5,6,4,
20180925,D3,2,fungicide,Mv,Bg6,7,3,
20180925,D3,2,fungicide,Mv,Bg7,4,4,
20180925,D3,2,fungicide,Mv,Bg8,4,4,
20180925,D3,2,fungicide,Mv,Bg9,5,5,
20180925,D3,3,fungicide,Mv,1,4,4,
20180925,D3,3,fungicide,Mv,2,NA,NA,
20180925,D3,3,fungicide,Mv,3,6,4,
20180925,D3,3,fungicide,Mv,Bg1,6,4,
20180925,D3,3,fungicide,Mv,Bg10,5,4,
20180925,D3,3,fungicide,Mv,Bg2,6,4,
20180925,D3,3,fungicide,Mv,Bg3,2,2,
20180925,D3,3,fungicide,Mv,Bg4,4,4,
20180925,D3,3,fungicide,Mv,Bg5,3,3,
20180925,D3,3,fungicide,Mv,Bg6,5,5,
20180925,D3,3,fungicide,Mv,Bg7,3,3,
20180925,D3,3,fungicide,Mv,Bg8,4,4,
20180925,D3,3,fungicide,Mv,Bg9,4,4,
20180925,D3,4,fungicide,Mv,1,4,4,
20180925,D3,4,fungicide,Mv,2,6,4,
20180925,D3,4,fungicide,Mv,3,NA,NA,
20180925,D3,4,fungicide,Mv,Bg1,5,5,
20180925,D3,4,fungicide,Mv,Bg10,4,4,
20180925,D3,4,fungicide,Mv,Bg2,5,5,
20180925,D3,4,fungicide,Mv,Bg3,4,1,
20180925,D3,4,fungicide,Mv,Bg4,5,3,
20180925,D3,4,fungicide,Mv,Bg5,5,4,
20180925,D3,4,fungicide,Mv,Bg6,5,4,
20180925,D3,4,fungicide,Mv,Bg7,6,6,
20180925,D3,4,fungicide,Mv,Bg8,4,4,
20180925,D3,4,fungicide,Mv,Bg9,4,4,
20180925,D3,5,fungicide,Mv,1,7,3,
20180925,D3,5,fungicide,Mv,2,NA,NA,
20180925,D3,5,fungicide,Mv,3,NA,NA,
20180925,D3,6,fungicide,Mv,1,NA,NA,
20180925,D3,6,fungicide,Mv,2,NA,NA,
20180925,D3,6,fungicide,Mv,3,NA,NA,
20180925,D3,7,fungicide,Mv,1,NA,NA,
20180925,D3,7,fungicide,Mv,2,3,3,
20180925,D3,7,fungicide,Mv,3,6,3,
20180925,D3,8,fungicide,Mv,1,4,2,
20180925,D3,8,fungicide,Mv,2,2,1,
20180925,D3,8,fungicide,Mv,3,5,1,
20180925,D3,9,fungicide,Mv,1,4,3,
20180925,D3,9,fungicide,Mv,2,5,5,
20180925,D3,9,fungicide,Mv,3,5,4,
20180925,D3,10,fungicide,Mv,1,5,2,
20180925,D3,10,fungicide,Mv,2,4,3,
20180925,D3,10,fungicide,Mv,3,4,2,
20180926,D4,1,water,Mv,1,2,2,
20180926,D4,1,water,Mv,2,3,3,
20180926,D4,1,water,Mv,3,6,6,
20180926,D4,2,water,Mv,1,4,4,
20180926,D4,2,water,Mv,2,NA,NA,
20180926,D4,2,water,Mv,3,3,3,
20180926,D4,2,water,Mv,Bg1,4,4,
20180926,D4,2,water,Mv,Bg10,4,4,
20180926,D4,2,water,Mv,Bg2,5,5,
20180926,D4,2,water,Mv,Bg3,3,3,
20180926,D4,2,water,Mv,Bg4,5,5,
20180926,D4,2,water,Mv,Bg5,4,4,
20180926,D4,2,water,Mv,Bg6,5,5,
20180926,D4,2,water,Mv,Bg7,5,4,
20180926,D4,2,water,Mv,Bg8,4,4,
20180926,D4,2,water,Mv,Bg9,3,3,
