date,site,plot,treatment,sp,ID,leaves_tot,leaves_infec,Bp_spots,scan,path_ID,microbiome,seeds_collected,field_notes
20190829,D2,9,fungicide,Ev,A,8,7,0,1,0,NA,1,
20190830,D2,10,fungicide,Ev,1,5,4,0,1,0,NA,0,
20190830,D2,10,fungicide,Ev,2,5,5,0,1,0,NA,0,
20190830,D2,10,fungicide,Ev,3,3,3,0,1,0,NA,0,
20190830,D2,10,fungicide,Ev,A,4,4,1,1,1,NA,1,
20190829,D2,1,water,Ev,1,3,2,0,0,0,NA,0,too few green leaves
20190829,D2,1,water,Ev,2,5,3,0,0,0,NA,0,too few green leaves
20190829,D2,1,water,Ev,3,0,0,0,0,0,NA,0,no green leaves
20190829,D2,1,water,Ev,A,0,0,0,0,0,NA,1,no green leaves
20190830,D2,2,water,Ev,1,3,2,1,0,0,NA,0,
20190830,D2,2,water,Ev,2,2,2,1,0,0,NA,0,too few green leaves
20190830,D2,2,water,Ev,3,5,4,1,0,0,NA,1,too few green leaves
20190830,D2,2,water,Ev,A,6,5,0,1,0,NA,1,
20190830,D2,3,water,Ev,1,9,7,1,1,1,NA,0,
20190830,D2,3,water,Ev,2,4,1,0,1,0,NA,0,
20190830,D2,3,water,Ev,3,9,5,0,1,0,NA,0,
20190830,D2,3,water,Ev,A,7,7,0,1,0,NA,1,
20190829,D2,4,water,Ev,1,4,4,1,1,1,NA,0,
20190829,D2,4,water,Ev,2,3,3,1,0,0,NA,0,too few green leaves
20190829,D2,4,water,Ev,3,0,0,0,0,0,NA,1,appears dead
